"title", "artist", "lyrics"
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)", "David Guetta", "[Intro: Alan Lomax, Bebe Rexha] Be my woman, girl I'll be your man Be my woman, girl I'll be your man [Verse 1: Nicki Minaj] (Yo) Yes, I'll be your woman, yes, I'll be your baby Yes, I'll be whatever that you tell me when you're ready Yes, I'll be your girl, forever your lady You ain't ever gotta worry, I'm down for you baby (Uh) [Pre-Chorus: Nicki Minaj] Best believe that, when you need that I'll provide that, you will always have it I'll be on deck, keep it in check When you need that, I'ma let you have it [Chorus: Bebe Rexha] Beating my drum like 'dum di di day' I like the dirty rhythm you play I wanna hear you calling my name Like 'hey, mama, mama, hey, mama, ma' Banging the drum like 'dum di di day' (Hey) I know you want it in the worst way I wanna hear you calling my name Like 'hey, mama, mama, hey, mama, ma' (Hey) [Post-Chorus: Alan Lomax, Bebe Rexha] Be my woman, girl I'll be your man Be my woman, girl I'll be your man [Verse 2: Nicki Minaj] Yes, I do the cooking, yes, I do the cleaning Plus, I keep the na-na real sweet for your eating Yes, you be the boss, and yes, I be respecting Whatever that you tell me, cause it's game you be spitting, oh [Pre-Chorus: Nicki Minaj] Best believe that (Oh-oh), when you need that (Oh-oh) I'll provide that, you will always have it I'll be on deck, keep it in check When you need that, I'ma let you have it [Chorus: Bebe Rexha] Beating my drum like 'dum di di day' I like the dirty rhythm you play I wanna hear you calling my name Like 'hey, mama, mama, hey, mama, ma' (Hey) Banging the drum like 'dum di di day' I know you want it in the worst way I wanna hear you calling my name Like 'hey, mama, mama, hey, mama, ma' (Hey) [Post-Chorus: Alan Lomax, Bebe Rexha] Be my woman, girl I'll be your man Be my woman, girl I'll be your man [Verse 3: Nicki Minaj] Yeah, yeah, whole crew got the juice, yo' dick game the truth My screams is the proof, them other dudes get the deuce When I speed in the coupe, leaving this interview It ain't nothin' new, I been fuckin' with you None of them bitches ain't taking you, just tell them to make a 'U' Huh, that how it be, I come first like debuts, huh So baby when you need that, give me that word I'm no good, I'll be bad for my baby [Bridge: Nicki Minaj] (So I) Make sure that he's getting his share (So I) Make sure that his baby take care (So I) Make sure I'm on my toes, on my knees Keep him pleased, rub him down, be a lady and a freak, oh [Chorus: Bebe Rexha] Beating my drum like 'dum di di day' I like the dirty rhythm you play I wanna hear you calling my name Like 'hey, mama, mama, hey, mama, ma' (Hey) Banging the drum like 'dum di di day' I know you want it in the worst way I wanna hear you calling my name Like 'hey, mama, mama, hey, mama, ma' (Hey) [Post-Chorus: Alan Lomax, Bebe Rexha] Be my woman, girl I'll be your man Be my woman, girl I'll be your man",
"Genie In a Bottle", "Christina Aguilera", "[Intro] (Come on, come on, uh, yeah) Oh-ooh, whoa-oh (Come on, come on, uh) [Verse 1] I feel like I've been locked up tight For a century of lonely nights Waiting for someone to release me You're lickin' your lips and blowin' kisses my way But that don't mean I'm gonna give it away Baby, baby, baby (Baby, baby, baby) [Pre-Chorus] Oh (My body's sayin', 'Let's go') Oh (But my heart is sayin', 'No, no') [Chorus] If you wanna be with me Baby, there's a price to pay I'm a genie in a bottle (In a bottle, baby) You gotta rub me the right way (Yeah) If you wanna be with me I can make your wish come true You gotta make a big impression (Oh yeah) Gotta like what you do [Post-Chorus] I'm a genie in a bottle, baby You gotta rub me the right way, honey I'm a genie in a bottle, baby Come, come, come on and let me out [Verse 2] The music's bangin' and the lights down low Just one more dance and then we're good to go Waiting for someone who needs me Hormones racin' at the speed of light But that don't mean it's gotta be tonight (Yeah) Baby, baby, baby (Baby, baby, baby) [Pre-Chorus] Oh (My body's sayin', 'Let's go') Oh, ooh (Mm, but my heart is sayin' no, but my heart is sayin', 'No, no') [Chorus] If you wanna be with me Baby, there's a price to pay I'm a genie in a bottle (I'm a genie in a bottle) You gotta rub me the right way (Oh yeah) If you wanna be with me (Ooh) I can make your wish come true (Your wish come true, oh) Just come and set me free, baby And I'll be with you [Post-Chorus] I'm a genie in a bottle, baby You gotta rub me the right way, honey I'm a genie in a bottle, baby Come, come, come on and let me out I'm a genie in a bottle, baby (Mmm) Gotta rub me the right way, honey (Mmm) (If you wanna be with me) I'm a genie in a bottle, baby Come, come, come on and let me out [Pre-Chorus] Oh (My body's sayin', 'Let's go') Oh (Mm, but my heart is sayin', 'No, no') [Chorus] If you wanna be with me Baby, there's a price to pay I'm a genie in a bottle (I'm a genie in a bottle) You gotta rub me the right way (Whoa) If you wanna be with me (Me) I can make your wish come true (Ooh) You gotta make a big impression Gotta like what you do (Oh yeah-yeah) If you wanna be with me (If you wanna be with me) Baby, there's a price to pay (Uh, yeah) I'm a genie in a bottle (In a bottle, baby) You gotta rub me the right way (You gotta rub me the right way) If you wanna be with me (If you wanna be with me, yeah) I can make your wish come true Just come and set me free, baby And I'll be with you",
"Company", "Justin Bieber", "[Chorus] Can we, we keep Keep each other company? Maybe we, can be Be each other's company Oh company [Verse 1] Let's end each other's lonely nights Be each other's paradise Need a picture for my frame Someone to share my reign Tell me what you wanna drink I'll tell you what I got in mind Oh, I don't know your name But I feel like that's gonna change [Pre-Chorus] You ain't gotta be my lover For you to call me baby Never been about no pressure Ain't that serious [Chorus] Can we, we keep Keep each other company? (Oh) Maybe we, can be Be each other's company Oh company [Post-Chorus] Oooooooooh Oooooooooh Oooooooooh Oooooooooh [Verse 2] It ain't about the complications I'm all about the elevation We can keep it goin' up Oh, don't miss out on us Just wanna have a conversation Forget about the obligations Maybe we can stay in touch Oh that ain't doin' too much [Pre-Chorus] You ain't gotta be my lover For me to call you baby Never been about no pressure Ain't that serious, no [Chorus] Can we, we keep Keep each other company? Maybe we, can be Be each other's company Oh company [Post-Chorus] Yeah yeah Oooooooooooh Oooooooooooh Oooooooooooh Oooooooooooh [Chorus] Can we be, can we be Be each other's company? Be each other's company (Oh) Just be each other's company Be each others company (Oh, oh-oh-oh) Can we, we keep Keep each other company? (Oh) Maybe we, can be Be each other's company Oh company",
"Sing", "Ed Sheeran", "[Verse 1] It's late in the evening Glass on the side I've been sat with you For most of the night Ignorin' everybody here We wish they would disappear So maybe we could get down now And I don't wanna know If you're gettin' ahead of the program I want you to be mine, lady To hold your body close Take another step into the no-man's land And for the longest time, lady [Pre-Chorus] I need you darling Come on, set the tone If you feel you're fallin' Won't you let me know Oh-oh, ooh-ooh Oh-oh, ooh-ooh If you love me Come on, get involved Feel it rushin' through you From your head to toe Oh-oh, ooh-ooh Oh-oh, ooh-ooh [Chorus] SING! Oh-oh-oh-oh-oh-oh-oh, oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh, oh-oh-oh-oh LOUDER! Oh-oh-oh-oh-oh-oh-oh, oh-oh-oh-oh SING! Oh-oh-oh-oh-oh-oh-oh, oh-oh-oh-oh [Verse 2] This love is ablaze, I saw flames from the side of the stage And the fire brigade comes in a couple of days Until then, we got nothin' to say and nothin' to know But somethin' to drink and maybe somethin' to smoke Let it go until our roads are changed Singin' 'We Found Love' in a local rave No, I don't really know what I'm supposed to say But I can just figure it out, then hope and pray I told her my name, then said 'It's nice to meet you' Then she handed me a bottle of water filled with tequila I already know if she's a keeper Just from this one small act of kindness, I'm in Deep shit if anybody finds out I meant to drive home but I drunk all of it now Not soberin' up, we just sit on the couch One thing led to another, now she's kissin' my mouth [Pre-Chorus] I need you darling Come on, set the tone If you feel you're fallin' Won't you let me know Oh-oh, ooh-ooh Oh-oh, ooh-ooh If you love me Come on, get involved Feel it rushin' through you From your head to toe Oh-oh, ooh-ooh Oh-oh, ooh-ooh [Chorus] SING! Oh-oh-oh-oh-oh-oh-oh, oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh, oh-oh-oh-oh LOUDER! Oh-oh-oh-oh-oh-oh-oh, oh-oh-oh-oh SING! Oh-oh-oh-oh-oh-oh-oh, oh-oh-oh-oh [Bridge] Can you feel it? All the guys in here don't even wanna dance Can you feel it? All that I can hear is music from the back But can you feel it? Found you hidin' here so won't you take my hand, darlin'? Before the beat kicks in again Can you feel it? Can you feel it? [Final Chorus] SING! I need you darling Come on, set the tone If you feel you're fallin' Won't you let me know LOUDER! Oh-oh, ooh-ooh Oh-oh, ooh-ooh SING! If you love me Come on, get involved Feel it rushin' through you From your head to toe LOUDER! Oh-oh, ooh-ooh Oh-oh, ooh-ooh SING!",
"Jealous - Remix", "Nick Jonas", "[Intro: Tinashe] Uhh, mmm Nick J Tinashe It's the remix [Verse 1: Nick Jonas] I don't like the way he's looking at you I'm starting to think you want him too Am I crazy? Have I lost ya? Even though I know you love me, can't help it [Pre-Chorus: Nick Jonas] I turn my chin music up And I'm puffing my chest I'm getting red in the face You can call me obsessed It's not your fault that they hover I mean no disrespect It's my right to be hellish I still get jealous [Chorus: Nick Jonas & Tinashe] 'Cause you're too fucking beautiful And everybody wants a taste That's why (That's why) I still get jealous 'Cause you're too fucking beautiful And everybody wants your sex That's why (That's why) I still get jealous [Verse 2: Tinashe] Listen I'm the type to never sweat no chick (Yeah) Ain't nobody but you got me stressing this way and you know Yeah, yeah Now the struggle's always real Girls be steppin' in my space (Space), all up in your face (Face) How am I supposed to feel? [Pre-Chorus: Tinashe] I turn my chin music up And I'm puffing my chest I'm getting red in the face You can call me obsessed It's not your fault that they hover I mean no disrespect It's my right to be hellish I still get jealous [Chorus: Nick Jonas with Tinashe] 'Cause you're too fucking beautiful And everybody wants a taste That's why (That's why) I still get jealous 'Cause you're too fucking beautiful And everybody wants your sex That's why (That's why) I still get jealous [Bridge: Nick Jonas with Tinashe] You're the only one invited (Invited) Say there's no one else for you (For you) 'Cause you know I get excited (Yeah) When you get jealous too [Pre-Chorus: Nick Jonas with Tinashe] I turn my chin music up And I'm puffing my chest I'm turning red in the face You can call me obsessed It's not your fault that they hover I mean no disrespect It's my right to be hellish I still get jealous [Chorus: Nick Jonas with Tinashe] 'Cause you're too fucking beautiful And everybody wants a taste That's why (That's why) I still get jealous (I get jealous) 'Cause you're too fucking beautiful And everybody wants your sex That's why (That's why) I still get jealous [Outro: Nick Jonas & Tinashe] Ohh (Oh, that's why) (That's why, that's why) I still get jealous Jealous, baby, jealous, baby, baby Oh, that's why Nick J, Tinashe I still get jealous (Jealous, jealous, jealous)",
"Really Don't Care", "Demi Lovato", "[Verse 1: Demi Lovato] You wanna play, you wanna stay, you wanna have it all You started messing with my head until I hit a wall Maybe I should've known, maybe I should've known That you would walk, you would walk out the door (Hey) Said we were done, then met someone and rubbed it in my face Cut to the part she broke your heart, and then she ran away I guess you should've known, I guess you should've known That I would talk, I would talk  [Chorus: Demi Lovato] But, even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh-oh-oh, I really don't care Even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh-oh-oh, I really don't care Oh-oh-oh, I really don't care  [Verse 2: Demi Lovato] I can't believe I ever stayed up writing songs about you You don't deserve to know the way I used to think about you Oh, no, not anymore, oh, no, not anymore You had your shot, had your shot, but you let go Now if we meet out on the street, I won't be running scared I'll walk right up to you and put one finger in the air And make you understand, and make you understand You had your chance, had your chance [Chorus: Demi Lovato] But, even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh-oh-oh, I really don't care Even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh-oh-oh, I really don't care Oh-oh-oh, I really don't care  [Bridge: Cher Lloyd] Yeah, listen up Hey, hey, never look back Dumbstruck boy, ego intact Look, boy, why you so mad? Second-guessin', but should've hit that Hey, Demi, you picked the wrong lover Should've picked that one, he's cuter than the other I just wanna laugh, 'cause you tryna be a hipster Kick it to the curb, take a Polaroid picture  [Chorus: Demi Lovato] But, even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh-oh",
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)", "Macklemore & Ryan Lewis", "[Verse 1: Macklemore] I went to the moped store, said 'Fuck it' And salesman's like 'What up, what's your budget?' And I'm like 'Honestly, I don't know nothing about mopeds' He said 'I got the one for you, follow me' Ooh, it's too real Chromed out mirror, I don't need a windshield Banana seat, a canopy on two wheels Eight hundred cash, that's a hell of a deal I'm headed... [Verse 2: Grandmaster Caz, Kool Moe Dee & Melle Mel] Downtown, cruising through the alley Tip-toeing in the street like ballet Pulled up, moped to the valet White walls on the wheels like mayonnaise Dope, my crew is ill, and all we need is two good wheels Got gas in the tank, cash in the bank And a bad little mama with her ass in my face I'ma lick that, stick that, break her off, Kit-Kat Snuck her in backstage, you don't need a wristband Dope [Verse 3: Macklemore] Killing the game, 'bout to catch a body Passed the Harley, Dukie on the Ducati Timbaland, Khaled, Scott Storch, Birdman Goddamn, man, everybody got Bugattis But I'ma keep it hella 1987 Head into the dealership and drop a stack and cop a Kawasaki I'm stunting on everybody, hella raw, pass the Wasabi I'm so low that my scrotum's almost dragging up on the concrete My seat is leather, alright, I'm lying, it's pleather But girl, we could still ride together, oh You don't need an Uber, you don't need a cab Fuck a bus pass, you got a moped, man She got 1988 Mariah Carey hair Very rare, mom jeans on her derriere Throwing up the West Side as we tear in the air Stop by Pike Place, throwing fish to a player [Pre-Chorus: Eric Nally] Downtown, downtown (Downtown) Downtown, downtown (Downtown) She has her arms around your waist With a balance that will keep her safe (Downtown) Have you ever felt the warm embrace (Downtown) Of a leather seat between your legs Hey, hey-oh-ey-ey Hey, hey-oh-ey-ey Hey, hey-oh-ey-ey Hey, hey-oh-ey-ey [Chorus: Eric Nally] Downtown You don't want no beef, boy Know I run the streets, boy Better follow me towards Downtown What you see is what you get, girl Don't ever forget, girl Ain't seen nothing yet until you're Downtown [Verse 4: Grandmaster Caz, Kool Moe Dee & Melle Mel] Dope Cut the bullshit, get off my mullet Stone washed, so raw, moped like a bullet, oh, yee-ow You can't catch me, a po-po can't reprimand me I'm in a B-Boy stance, I'm not dancing I got your girl on the back going tandem Cause I'm too damn quick, I'm too damn slick Whole downtown yelling out 'Who that is?' [Verse 5: Macklemore] It's me, the M, the A-C, the K Sounding like a French pimp from back in the day I take her to Pend Oreille and I water skate I mean, water ski, ollie, ollie, oxen free I'm perusing down Fourth and they watching me I do a headstand, the eagle lands on my seat Well hello, but baby, the kickstand ain't free Now do you or do you not wanna ride with me? I got one girl, I got two wheels She a big girl, but ain't a big deal I like a big girl, I like 'em sassy Going down the backstreet listening to Blackstreet Running around the whole town Neighbors yelling at me like, 'You need to slow down' 'Going thirty-eight, Dan, chill the fuck out Mow your damn lawn and sit the hell down' If I only had one helmet, I would give it to you, give it to you Cruising down Broadway, girl, what a wonderful view, wonderful view There's layers to this shit, player, tiramisu, tiramisu Let my coat-tail drag but I ain't tearing my suit, tearing my suit [Pre-Chorus: Eric Nally] Downtown, downtown (Downtown) Downtown, downtown She has her arms around your waist With a balance that will keep her safe Have you ever felt the warm embrace Of a leather seat between your legs [Chorus: Eric Nally] Downtown You don't want no beef, boy Know I run the streets, boy Better follow me towards Downtown What you see is what you get, girl Don't ever forget, girl Ain't seen nothing yet until you're Downtown [Outro: All] You don't want no beef, boy Know I run the streets, boy Better follow me towards Downtown What you see is what you get, girl Don't ever forget, girl Ain't seen nothing yet until you're Downtown",
"Only Love Can Hurt Like This", "Paloma Faith", "I'd tell myself you don't mean a thing But what we got, got no hold on me? But when you're not there I just crumble I tell myself that I don't care that much But I feel like I'm dying till I feel your touch Only love, only love can hurt like this Only love can hurt like this Must have been a deadly kiss Only love can hurt like this Say I wouldn't care if you walked away But every time you're there I'm begging you to stay When you come close I just tremble And every time, every time you go It's like a knife that cuts right through my soul Only love, only love can hurt like this Only love can hurt like this Must have been a deadly kiss Only love can hurt like this Only love can hurt like this Your kisses burning to my skin Only love can hurt like this But if the sweetest pain Burning hot through my veins Love is torture makes me more sure Only love can hurt like this Only love can hurt like this Only love can hurt like this Must have been the deadly kiss Only love can hurt like this Only love can hurt like this Your kisses burning to my skin Only love can hurt like this Only love can hurt like this Save me, save me Only love, only love 'Cause only love can hurt like this And it must have been the deadly kiss",
"Heartbeat Song", "Kelly Clarkson", "[Intro] This is my heartbeat song and I'm gonna play it Been so long, I forgot how to turn it Up, up, up, up all night long Oh, up, up all night long [Verse 1] You, where the hell did you come from? You're a different, different kind of fun And I'm so used to feeling numb Now I've got pins and needles on my tongue Anticipating what's to come Like a finger on a loaded gun [Pre-Chorus 1] I can feel it rising Temperature inside me Haven't felt it for a long time [Chorus] This is my heartbeat song and I'm gonna play it Been so long, I forgot how to turn it Up, up, up, up all night long Oh, up, up all night long This is my heartbeat song and I'm gonna play it Turned it on, but I know you can take it Up, up, up, up all night long Oh, up, up all night long (All night long) [Verse 2] I, I wasn't even gonna go out But I never would've had a doubt If I'd have known where I'd be now [Pre-Chorus 2] Your hands on my hips And my kiss on your lips Oh, I could do this for a long time [Chorus] This is my heartbeat song and I'm gonna play it Been so long, I forgot how to turn it Up, up, up, up all night long Oh, up, up all night long This is my heartbeat song and I'm gonna play it Turned it on, but I know you can take it Up, up, up, up all night long Oh, up, up all night long, all night long [Bridge] Until tonight, I only dreamed about you I can't believe I've ever breathed without you Baby, you make me feel alive and brand new Bring it one more time (One more time) [Chorus] This is my heartbeat song and I'm gonna play it Been so long, I forgot how to turn it Up, up, up, up all night long Oh, up, up all night long This is my heartbeat song and I'm gonna play it Turned it on, but I know you can take it Up, up, up, up all night long Oh, up, up all night long, all night long This is my heartbeat song and I'm gonna play it Been so long, I forgot how to turn it Up, up, up, up all night long Oh, up, up all night long This is my heartbeat song and I'm gonna play it Turned it on, but I know you can take it Up, up, up, up all night long Oh, up, up all night long",
"Up", "Olly Murs", "[Verse 1: Olly Murs] I drew a broken heart Right on your window pane Waited for your reply Here in the pouring rain Just breathe against the glass Leave me some kind of sign I know the hurt won't pass, yeah Just tell me it's not the end of the line Just tell me it's not the end of the line  [Pre-Chorus: Demi Lovato] I never meant to break your heart And I won't let this plane go down I never meant to make you cry I'll do what it takes to make this fly  [Chorus: Demi Lovato] Oh, you gotta hold on Hold on to what you're feeling That feeling is the best thing The best thing, alright I'm gonna place my bet on us I know this love is heading In the same direction That's up [Verse 2: Olly Murs with Demi Lovato] You drew a question mark But you know what I want I wanna turn the clock, yeah Right back to where it was So let's build a bridge, yeah From your side to mine I'll be the one to cross over Just tell me it's not the end of the line Just tell me it's not the end of the line  [Pre-Chorus: Demi Lovato] I never meant to break your heart And I won't let this plane go down I never meant to make you cry I'll do what it takes to make this fly  [Chorus: Demi Lovato] Oh, you gotta hold on Hold on to what you're feeling That feeling is the best thing The best thing, alright I'm gonna place my bet on us I know this love is heading In the same direction That's up [Bridge: Olly Murs with Demi Lovato] Girl, I know we could climb Back to where we were then Feel it here, in my heart Put my heart in your hand Well, I hope and I pray That you do understand If you did, all you have to say is Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah I'm waiting for ya Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah  [Pre-Chorus: Olly Murs & Demi Lovato] I never meant to break your heart (Come on) Now, won't let this plane go down (Let this plane go down) I never meant to make you cry I'll do what it takes to make this fly  [Chorus: Olly Murs & Demi Lovato] Oh, you got",
